ss19	spec	feature	Stylistic Set 19	
ss20	spec	feature	Stylistic Set 20	
ssty	spec	feature	Math Script-Style Alternates	
stch	spec	feature	Stretching Glyph Decomposition	
subs	spec	feature	Subscript	
sups	spec	feature	Superscript	
swsh	spec	feature	Swash	
titl	spec	feature	Titling	
tjmo	spec	feature	Trailing Jamo Forms	
tnam	spec	feature	Traditional Name Forms	
tnum	spec	feature	Tabular Figures	
trad	spec	feature	Traditional Forms	
twid	spec	feature	Third Widths	
unic	spec	feature	Unicase	
valt	spec	feature	Alternate Vertical Metrics	
vapk	spec	feature	Kerning for Alternate Proportional Vertical Metrics	
vatu	spec	feature	Vattu Variants	
vchw	spec	feature	Vertical Contextual Half-Width Spacing	
vert	spec	feature	Vertical Alternates	
vhal	spec	feature	Alternate Vertical Half Metrics	
vjmo	spec	feature	Vowel Jamo Forms	
vkna	spec	feature	Vertical Kana Alternates	
vkrn	spec	feature	Vertical Kerning	
vpal	spec	feature	Proportional Alternate Vertical Metrics	
vrt2	spec	feature	Vertical Alternates and Rotation	
vrtr	spec	feature	Vertical Alternates for Rotation	
zero	spec	feature	Slashed Zero	
 REQ	fontforge	feature	Required FontForge internal usage	
ITLC	fontforge	feature	(deprecated) TeX Math Italic Correction	
TCHL	fontforge	feature	(deprecated) TeX Math Charlist	
TEXL	fontforge	feature	(deprecated) TeX Math Extension List	
Harf	harfbuzz	feature	Required HarfBuzz private-use	
Buzz	harfbuzz	feature	Required HarfBuzz private-use	
HARF	harfbuzz	feature	Discretionary HarfBuzz private-use 	
BUZZ	harfbuzz	feature	Discretionary HarfBuzz private-use	
zz01	volt	feature	VOLT internal usage 1	
zz02	volt	feature	VOLT internal usage 2	
zz03	volt	feature	VOLT internal usage 3	
zz04	volt	feature	VOLT internal usage 4	
zz05	volt	feature	VOLT internal usage 5	
zz06	volt	feature	VOLT internal usage 6	
zz07	volt	feature	VOLT internal usage 7	
zz08	volt	feature	VOLT internal usage 8	
zz09	volt	feature	VOLT internal usage 9	
zz10	volt	feature	VOLT internal usage 10	
zz11	volt	feature	VOLT internal usage 11	
zz12	volt	feature	VOLT internal usage 12	
zz13	volt	feature	VOLT internal usage 13	
zz14	volt	feature	VOLT internal usage 14	
zz15	volt	feature	VOLT internal usage 15	
zz16	volt	feature	VOLT internal usage 16	
zz17	volt	feature	VOLT internal usage 17	
zz18	volt	feature	VOLT internal usage 18	
zz19	volt	feature	VOLT internal usage 19	
zz20	volt	feature	VOLT internal usage 20	
zz21	volt	feature	VOLT internal usage 21	
zz22	volt	feature	VOLT internal usage 22	
zz23	volt	feature	VOLT internal usage 23	
zz24	volt	feature	VOLT internal usage 24	
zz25	volt	feature	VOLT internal usage 25	
zz26	volt	feature	VOLT internal usage 26	
zz27	volt	feature	VOLT internal usage 27	
zz28	volt	feature	VOLT internal usage 28	
zz29	volt	feature	VOLT internal usage 29	
zz30	volt	feature	VOLT internal usage 30	
zz31	volt	feature	VOLT internal usage 31	
zz32	volt	feature	VOLT internal usage 32	
zz33	volt	feature	VOLT internal usage 33	
zz34	volt	feature	VOLT internal usage 34	
zz35	volt	feature	VOLT internal usage 35	
zz36	volt	feature	VOLT internal usage 36	
zz37	volt	feature	VOLT internal usage 37	
zz38	volt	feature	VOLT internal usage 38	
zz39	volt	feature	VOLT internal usage 39	
zz40	volt	feature	VOLT internal usage 40	
zz41	volt	feature	VOLT internal usage 41	
zz42	volt	feature	VOLT internal usage 42	
zz43	volt	feature	VOLT internal usage 43	
zz44	volt	feature	VOLT internal usage 44	
